,art,intensity_std,intensity_mean,mod_std,mod_mean,phase_life_std,phase_life_mean,mod_life_std,mod_life_mean
40,Eiche,0.0375668928027153,0.30112501978874207,0.02140374854207039,0.9160239100456238,0.10604768991470337,1.4997502565383911,0.45169371366500854,2.3157637119293213
41,Eiche,0.03345184773206711,0.37180495262145996,0.02003801241517067,0.9107407927513123,0.07981670647859573,1.600213646888733,0.2927880883216858,2.3994266986846924
42,Eiche,0.03915005177259445,0.43094947934150696,0.022037379443645477,0.9129602909088135,0.07526388764381409,1.6314365863800049,0.32912203669548035,2.3631622791290283
43,Eiche,0.04113243520259857,0.14876975119113922,0.032142505049705505,0.961499035358429,0.1724492311477661,1.0882965326309204,1.5337857007980347,1.50584876537323
44,Eiche,0.03407765552401543,0.21692167222499847,0.0227795522660017,0.953260600566864,0.08484919369220734,1.2038832902908325,0.987115740776062,1.6727668046951294
45,Eiche,0.039258215576410294,0.29181674122810364,0.018483681604266167,0.9062348008155823,0.10094393789768219,1.7420907020568848,0.5277694463729858,2.471876382827759
46,Eiche,0.048192769289016724,0.31921014189720154,0.018101587891578674,0.9031011462211609,0.08622217923402786,1.799907922744751,0.528514564037323,2.5193958282470703
47,Eiche,0.025111021474003792,0.34996548295021057,0.020483439788222313,0.9142783284187317,0.06545881181955338,1.5744441747665405,0.30130934715270996,2.343186378479004
48,Eiche,0.021809017285704613,0.2805418074131012,0.021669480949640274,0.9224462509155273,0.06100832670927048,1.4226524829864502,0.5620573163032532,2.2124922275543213
49,Eiche,0.025402143597602844,0.34952282905578613,0.019797971472144127,0.9134567975997925,0.08038188517093658,1.5770370960235596,0.28910377621650696,2.3568825721740723
50,Eiche,0.04619781672954559,0.3224100172519684,0.019228454679250717,0.9209723472595215,0.09590111672878265,1.495609998703003,0.4336256980895996,2.237637519836426
51,Eiche,0.01991497538983822,0.2965050935745239,0.02132280543446541,0.9199565649032593,0.062407951802015305,1.4663828611373901,0.6498662829399109,2.2531538009643555
52,Eiche,0.02682090550661087,0.3156939148902893,0.020773177966475487,0.919506847858429,0.07608019560575485,1.4890998601913452,0.305278480052948,2.25974178314209
53,Eiche,0.02813475765287876,0.31348782777786255,0.02086770534515381,0.9172940850257874,0.07951377332210541,1.5112115144729614,0.3037593364715576,2.2954070568084717
54,Eiche,0.021948080509901047,0.32120591402053833,0.020869053900241852,0.9152045249938965,0.06044772267341614,1.537024736404419,0.30470871925354004,2.3284733295440674
55,Eiche,0.03388119116425514,0.31421658396720886,0.02121582254767418,0.9174190163612366,0.06057169288396835,1.5122661590576172,0.5589399933815002,2.2936573028564453
56,Eiche,0.04298032447695732,0.31194955110549927,0.021660059690475464,0.916255533695221,0.10961183160543442,1.5129772424697876,0.5610030889511108,2.3121771812438965
57,Eiche,0.03123599849641323,0.3147463798522949,0.021101828664541245,0.9195454716682434,0.07002465426921844,1.4684078693389893,0.5581865310668945,2.2596724033355713
58,Eiche,0.025193460285663605,0.3309674561023712,0.020677514374256134,0.9137964248657227,0.06242038682103157,1.5581172704696655,0.30110934376716614,2.3509302139282227
59,Eiche,0.0262917373329401,0.4148910939693451,0.020849641412496567,0.916467547416687,0.08282491564750671,1.5981910228729248,0.3127143383026123,2.308168411254883
60,Eiche,0.02685355208814144,0.3199481666088104,0.02064145915210247,0.9158989787101746,0.06453889608383179,1.5239894390106201,0.6449261903762817,2.318584680557251
61,Eiche,0.03209739550948143,0.3923088312149048,0.02082357369363308,0.9155042767524719,0.06500870734453201,1.5900415182113647,0.30969518423080444,2.3234686851501465
62,Eiche,0.030519459396600723,0.3894261121749878,0.020523307844996452,0.9178743958473206,0.07132000476121902,1.563538670539856,0.3076171576976776,2.2857842445373535
63,Eiche,0.03947630524635315,0.43020516633987427,0.021781375631690025,0.9146043658256531,0.08512324094772339,1.612995982170105,0.3257913589477539,2.337407112121582
64,Eiche,0.04637445509433746,0.3193950355052948,0.02180674485862255,0.9161036014556885,0.09185068309307098,1.5518646240234375,0.5632100701332092,2.314270257949829
65,Eiche,0.0428403802216053,0.31753993034362793,0.021007312461733818,0.9168367385864258,0.10757920145988464,1.5241200923919678,0.45034509897232056,2.302818536758423
66,Eiche,0.03037508763372898,0.2866630554199219,0.02195056900382042,0.9146651029586792,0.09615763276815414,1.5068237781524658,0.45628392696380615,2.3370444774627686
67,Eiche,0.03529961407184601,0.25735363364219666,0.01911284402012825,0.9458654522895813,0.08204331248998642,1.3239014148712158,0.5463024377822876,1.811316728591919
68,Eiche,0.0391894094645977,0.22608500719070435,0.022531606256961823,0.9487936496734619,0.10872560739517212,1.2557452917099,0.6612582802772522,1.7537481784820557
69,Eiche,0.044730786234140396,0.30479681491851807,0.01845354028046131,0.9456278085708618,0.06758082658052444,1.3645398616790771,0.5488656759262085,1.8139761686325073
70,Eiche,0.030986810103058815,0.33632874488830566,0.01741374097764492,0.9443134665489197,0.06486260890960693,1.398728609085083,0.5436031222343445,1.8383241891860962
71,Eiche,0.03937109559774399,0.22979611158370972,0.021838348358869553,0.9502203464508057,0.1219574585556984,1.274895429611206,0.658595621585846,1.7271531820297241
72,Eiche,0.05026281252503395,0.3035682439804077,0.0182762760668993,0.9439353346824646,0.0765412449836731,1.3757694959640503,0.5450735688209534,1.8458447456359863
73,Eiche,0.025428229942917824,0.3435021936893463,0.017513412982225418,0.944642186164856,0.05494238808751106,1.389255166053772,0.4348925054073334,1.8314193487167358
74,Eiche,0.05339069664478302,0.3598015308380127,0.017871152609586716,0.9427434802055359,0.0697648674249649,1.427473783493042,0.2862301170825958,1.8657069206237793
75,Eiche,0.04298001527786255,0.24136501550674438,0.020751673728227615,0.9461968541145325,0.09894825518131256,1.3062117099761963,0.726784348487854,1.8043736219406128
76,Eiche,0.0292119812220335,0.3491836488246918,0.020207777619361877,0.9156583547592163,0.06802757829427719,1.5595725774765015,0.44357743859291077,2.3219127655029297
77,Eiche,0.025719361379742622,0.2816922962665558,0.022018607705831528,0.9187484979629517,0.06113780289888382,1.455125331878662,0.5630173087120056,2.2722811698913574
78,Eiche,0.0392487496137619,0.2936236262321472,0.021359361708164215,0.92221599817276,0.1024584025144577,1.4389973878860474,0.454233318567276,2.2160279750823975
79,Eiche,0.13143229484558105,0.36792489886283875,0.019988199695944786,0.9167874455451965,0.1608414351940155,1.7491062879562378,0.5415232181549072,2.305994749069214
80,Eiche,0.048806384205818176,0.2860242426395416,0.018425816670060158,0.9062530398368835,0.074674591422081,1.749235987663269,0.5267937779426575,2.4718658924102783
81,Eiche,0.04180961847305298,0.2650187015533447,0.022194910794496536,0.9038143754005432,0.08358382433652878,1.6320894956588745,0.7213473320007324,2.508347272872925
82,Eiche,0.03299371153116226,0.3570740222930908,0.018142059445381165,0.9012331962585449,0.08796577155590057,1.7380787134170532,0.2535894215106964,2.546733856201172
83,Eiche,0.05783723667263985,0.35703179240226746,0.01785776950418949,0.8945143818855286,0.09371395409107208,1.8040592670440674,0.523715615272522,2.6489336490631104
