,art,intensity_std,intensity_mean,mod_std,mod_mean
113,Buche,0.008920128457248211,0.05339563637971878,5.598019123077393,3.136805772781372
114,Buche,0.010135791264474392,0.04871020093560219,6.52496337890625,3.246471405029297
115,Buche,0.01040125172585249,0.053085122257471085,5.854510307312012,2.9450345039367676
116,Buche,0.011292178183794022,0.07575932890176773,3.6475112438201904,2.871190309524536
117,Buche,0.00873430073261261,0.038688160479068756,8.595616340637207,3.283763885498047
118,Buche,0.008609214797616005,0.045075055211782455,7.064295768737793,3.174367666244507
119,Buche,0.015842784196138382,0.0825163796544075,3.510028600692749,2.931291103363037
120,Buche,0.012996673583984375,0.057829950004816055,5.4169020652771,3.000816583633423
121,Buche,0.017082326114177704,0.08457853645086288,3.2784512042999268,2.9510140419006348
122,Buche,0.015597362071275711,0.07690110802650452,3.814568519592285,3.0759615898132324
123,Buche,0.014814481139183044,0.08139383792877197,3.3915085792541504,2.9619476795196533
124,Buche,0.01610199175775051,0.08790118247270584,2.925842046737671,2.895322799682617
125,Buche,0.015007929876446724,0.08500143140554428,3.0874226093292236,2.8406355381011963
126,Buche,0.015593954361975193,0.09000346064567566,3.0134689807891846,2.8796980381011963
127,Buche,0.01819181628525257,0.09328186511993408,2.7641799449920654,2.9031522274017334
128,Eiche,0.008224540390074253,0.0605899840593338,4.924143314361572,3.184091567993164
129,Eiche,0.009511827491223812,0.06885922700166702,4.340322017669678,3.159827947616577
130,Eiche,0.009185356087982655,0.06897884607315063,4.135300159454346,3.208949565887451
131,Eiche,0.008873283863067627,0.06843505799770355,4.108486175537109,3.249103546142578
132,Eiche,0.010219711810350418,0.07308576256036758,3.947082757949829,3.0737297534942627
133,Eiche,0.014755173586308956,0.07941796630620956,3.614680290222168,3.2343153953552246
134,Eiche,0.010285461321473122,0.07569628953933716,3.8101329803466797,3.1004016399383545
135,Eiche,0.011375101283192635,0.06165219098329544,5.042600154876709,3.4537649154663086
136,Eiche,0.009210996329784393,0.05442017689347267,5.639666557312012,3.3892931938171387
137,Eiche,0.010710012167692184,0.047514013946056366,6.904167175292969,3.488762617111206
138,Eiche,0.011091652326285839,0.049630243331193924,6.997353553771973,3.6711957454681396
