,art,intensity_std,intensity_mean
77,Ahorn,0.01693749986588955,0.13171476125717163
78,Ahorn,0.01567794382572174,0.11758110672235489
79,Ahorn,0.01509814616292715,0.11894525587558746
80,Buche,0.012737942859530449,0.07227940112352371
81,Buche,0.01176669355481863,0.06450404226779938
82,Buche,0.013070201501250267,0.0647115483880043
83,Buche,0.011931671760976315,0.06470341980457306
84,Buche,0.017497282475233078,0.10422881692647934
85,Buche,0.016922280192375183,0.09078580886125565
86,Buche,0.016673618927598,0.07071230560541153
87,Buche,0.0160803385078907,0.07310230284929276
88,Buche,0.012513051740825176,0.052199698984622955
89,Buche,0.013911948539316654,0.06895430386066437
90,Buche,0.014047336764633656,0.0776696503162384
91,Buche,0.008276352658867836,0.06601554900407791
92,Buche,0.0170934796333313,0.09598922729492188
93,Buche,0.012741082347929478,0.06850824505090714
94,Buche,0.014654340222477913,0.08575727790594101
95,Buche,0.010586600750684738,0.054294273257255554
96,Buche,0.00975977536290884,0.05691888928413391
97,Buche,0.011259054765105247,0.05398613587021828
98,Buche,0.011450890451669693,0.0567372664809227
99,Buche,0.016578786075115204,0.09589812159538269
100,Buche,0.011388445273041725,0.05912363529205322
101,Buche,0.010117187164723873,0.05630913004279137
102,Buche,0.02111281454563141,0.10545530170202255
103,Buche,0.0155416214838624,0.0883229523897171
104,Buche,0.01505670789629221,0.09007015824317932
105,Buche,0.015620446763932705,0.07958507537841797
106,Buche,0.016375545412302017,0.09534915536642075
107,Buche,0.02203865721821785,0.08508751541376114
108,Buche,0.01559888944029808,0.09986025840044022
109,Buche,0.018459757789969444,0.08129779249429703
110,Buche,0.013154593296349049,0.06976824253797531
111,Buche,0.010366040281951427,0.056660693138837814
112,Buche,0.010547267273068428,0.06126861274242401
113,Buche,0.008920128457248211,0.05339563637971878
114,Buche,0.010135791264474392,0.04871020093560219
115,Buche,0.01040125172585249,0.053085122257471085
116,Buche,0.011292178183794022,0.07575932890176773
117,Buche,0.00873430073261261,0.038688160479068756
118,Buche,0.008609214797616005,0.045075055211782455
119,Buche,0.015842784196138382,0.0825163796544075
120,Buche,0.012996673583984375,0.057829950004816055
121,Buche,0.017082326114177704,0.08457853645086288
122,Buche,0.015597362071275711,0.07690110802650452
123,Buche,0.014814481139183044,0.08139383792877197
124,Buche,0.01610199175775051,0.08790118247270584
125,Buche,0.015007929876446724,0.08500143140554428
126,Buche,0.015593954361975193,0.09000346064567566
127,Buche,0.01819181628525257,0.09328186511993408
128,Eiche,0.008224540390074253,0.0605899840593338
129,Eiche,0.009511827491223812,0.06885922700166702
130,Eiche,0.009185356087982655,0.06897884607315063
131,Eiche,0.008873283863067627,0.06843505799770355
132,Eiche,0.010219711810350418,0.07308576256036758
133,Eiche,0.014755173586308956,0.07941796630620956
134,Eiche,0.010285461321473122,0.07569628953933716
135,Eiche,0.011375101283192635,0.06165219098329544
136,Eiche,0.009210996329784393,0.05442017689347267
137,Eiche,0.010710012167692184,0.047514013946056366
138,Eiche,0.011091652326285839,0.049630243331193924
139,Eiche,0.022571375593543053,0.08725561201572418
140,Eiche,0.015336401760578156,0.051859959959983826
141,Eiche,0.011421059258282185,0.07163248211145401
142,Eiche,0.009253612719476223,0.04973170533776283
143,Eiche,0.014461816288530827,0.059392258524894714
144,Eiche,0.014589108526706696,0.068021759390831
145,Eiche,0.011245789006352425,0.10216854512691498
146,Eiche,0.010516871698200703,0.09300681203603745
147,Eiche,0.009350036270916462,0.04108967259526253
148,Eiche,0.01438804529607296,0.08511200547218323
149,Eiche,0.00910208374261856,0.06762972474098206
150,Eiche,0.009957816451787949,0.06136363744735718
151,Eiche,0.010911981575191021,0.05956176295876503
152,Eiche,0.009778504259884357,0.06390954554080963
153,Eiche,0.018993113189935684,0.052704643458127975
154,Eiche,0.02059595100581646,0.07225538045167923
155,Eiche,0.016870755702257156,0.07846150547266006
156,Eiche,0.008832287974655628,0.07454302906990051
157,Eiche,0.010999706573784351,0.07081084698438644
158,Eiche,0.010741163976490498,0.06462094932794571
159,Eiche,0.008880563080310822,0.0603826679289341
160,Eiche,0.008801761083304882,0.05694245919585228
161,Eiche,0.00883330125361681,0.06424670666456223
162,Eiche,0.015152666717767715,0.047780994325876236
163,Eiche,0.00913326721638441,0.06673229485750198
164,Eiche,0.007292915601283312,0.06174953281879425
165,Eiche,0.01214522309601307,0.06153152137994766
