,art,mod_std,mod_mean
207,Fichte,2.751427173614502,2.845306158065796
208,Fichte,2.9463133811950684,2.761481523513794
209,Fichte,2.514749765396118,2.9231603145599365
210,Fichte,2.321340799331665,2.77354097366333
211,Fichte,2.3698999881744385,2.763622522354126
212,Fichte,3.132554769515991,2.7273213863372803
213,Fichte,2.3280155658721924,2.5833311080932617
214,Fichte,2.576666831970215,2.626058578491211
215,Fichte,2.02492618560791,2.607409954071045
216,Fichte,2.602753162384033,2.7049200534820557
217,Fichte,2.1540699005126953,2.6098148822784424
218,Fichte,2.52192759513855,2.6273834705352783
219,Fichte,2.4427719116210938,2.6522936820983887
220,Fichte,2.325265645980835,2.700409173965454
221,Fichte,2.335845708847046,2.606743335723877
222,Fichte,2.5616447925567627,2.782984733581543
223,Fichte,2.4478440284729004,2.6442925930023193
224,Kiefer,3.1098992824554443,2.797313690185547
225,Kiefer,3.3578555583953857,2.6688790321350098
226,Kiefer,3.0305254459381104,2.6021947860717773
227,Kiefer,3.623539447784424,2.6575372219085693
228,Kiefer,3.045653820037842,2.619279623031616
229,Kiefer,3.017989158630371,2.483586311340332
230,Kiefer,4.28303337097168,2.6869828701019287
231,Kiefer,2.429469347000122,2.7660481929779053
232,Kiefer,2.5437445640563965,2.7059998512268066
233,Kiefer,2.68810772895813,2.698674440383911
234,Kiefer,2.5210866928100586,2.7483365535736084
235,Kiefer,2.7550063133239746,2.6322734355926514
236,Kiefer,2.6483116149902344,2.5403530597686768
237,Kiefer,2.710120916366577,2.6550652980804443
238,Kiefer,2.7494137287139893,2.5806877613067627
239,Kiefer,2.685431718826294,2.684471607208252
240,Kiefer,2.85543155670166,2.6072819232940674
241,Kiefer,3.2293264865875244,2.680060863494873
242,Kiefer,3.0496954917907715,2.5282704830169678
243,Kiefer,2.877685546875,2.484607696533203
244,Kiefer,2.5419468879699707,2.5842881202697754
245,Kiefer,3.37675404548645,2.7146918773651123
246,Kiefer,3.2045915126800537,2.6625020503997803
247,Kiefer,3.583641529083252,2.755945920944214
248,Kiefer,3.628004312515259,2.708005905151367
249,Kiefer,3.8971261978149414,2.7553164958953857
250,Kiefer,4.140883445739746,2.782480478286743
251,Kiefer,3.3040661811828613,2.670038938522339
252,Kiefer,4.142518043518066,2.6824240684509277
253,Kiefer,2.8996083736419678,2.539180040359497
254,Kiefer,2.7087976932525635,2.652384042739868
255,Kiefer,3.6918792724609375,2.7246599197387695
256,Kiefer,4.103108882904053,2.816179037094116
257,Kiefer,3.767765998840332,2.7352383136749268
258,Kiefer,3.893064022064209,2.7702102661132812
259,Kiefer,3.7259726524353027,2.6909403800964355
260,Kiefer,4.010719299316406,2.7743520736694336
261,Kiefer,3.905430555343628,2.7895538806915283
262,Kiefer,3.9708902835845947,2.775017499923706
263,Kiefer,3.824288845062256,2.7292981147766113
264,Kiefer,3.527130126953125,2.691781997680664
265,Kiefer,3.5596349239349365,2.71663761138916
266,Kiefer,3.965503692626953,2.7106966972351074
267,Kiefer,4.394443511962891,2.7764198780059814
268,Kiefer,4.098150253295898,2.6716504096984863
269,Kiefer,3.3335342407226562,2.7614457607269287
270,Kiefer,3.412489652633667,2.658419370651245
271,Kiefer,3.3149571418762207,2.705197811126709
272,Laerche,4.180384159088135,2.9575278759002686
273,Laerche,3.264007329940796,2.816012382507324
274,Laerche,6.040680408477783,3.1010076999664307
275,Laerche,3.4123010635375977,2.7898330688476562
276,Laerche,4.670378684997559,2.9886369705200195
277,Laerche,5.748971939086914,3.0673043727874756
278,Laerche,6.512209415435791,3.10748028755188
279,Laerche,6.628478527069092,3.146519899368286
280,Laerche,6.798205375671387,3.1681933403015137
281,Laerche,8.226373672485352,3.479140281677246
282,Laerche,5.235538005828857,2.920281410217285
283,Laerche,5.733292579650879,3.103747606277466
284,Laerche,4.322363376617432,2.792217969894409
285,Laerche,4.865841865539551,2.821592092514038
286,Laerche,5.742621898651123,3.0446858406066895
287,Laerche,4.928877830505371,2.8608455657958984
288,Laerche,4.687677383422852,2.799379348754883
289,Laerche,3.2272655963897705,2.656189441680908
290,Laerche,6.303652286529541,3.177278995513916
291,Laerche,6.339949131011963,3.175041437149048
292,Laerche,3.882089614868164,2.8879477977752686
293,Laerche,5.162443161010742,3.0089375972747803
294,Laerche,6.8847808837890625,3.195385694503784
295,Laerche,6.459280967712402,3.105433940887451
296,Laerche,5.406314373016357,2.9081027507781982
297,Laerche,5.099042892456055,2.907607316970825
298,Laerche,4.966312408447266,2.960237979888916
299,Laerche,4.287689208984375,2.8054444789886475
300,Laerche,6.615721702575684,3.2287073135375977
301,Laerche,4.866075038909912,2.925184965133667
302,Laerche,5.528679847717285,3.0388731956481934
303,Laerche,5.258848667144775,2.897883892059326
304,Laerche,4.958003997802734,2.957284927368164
305,Laerche,4.5019659996032715,2.9011306762695312
306,Laerche,5.470561981201172,2.9087717533111572
307,Laerche,4.56141996383667,2.8730311393737793
308,Laerche,3.9268851280212402,2.891911029815674
309,Laerche,4.555618762969971,2.8911032676696777
310,Laerche,4.750479221343994,2.908858299255371
311,Laerche,5.758664608001709,3.0911471843719482
312,Laerche,4.402073383331299,2.8981776237487793
313,Laerche,5.726704120635986,3.1924355030059814
314,Laerche,4.171278953552246,2.908557653427124
315,Laerche,3.5623939037323,2.8886773586273193
316,Laerche,3.692739248275757,2.8935515880584717
317,Laerche,6.990894794464111,3.2373900413513184
318,Laerche,4.7675251960754395,2.8778274059295654
319,Laerche,3.330535650253296,2.801518201828003
