,art,phase_std,phase_mean
62,Eiche,0.07132000476121902,1.563538670539856
63,Eiche,0.08512324094772339,1.612995982170105
64,Eiche,0.09185068309307098,1.5518646240234375
65,Eiche,0.10757920145988464,1.5241200923919678
66,Eiche,0.09615763276815414,1.5068237781524658
67,Eiche,0.08204331248998642,1.3239014148712158
68,Eiche,0.10872560739517212,1.2557452917099
69,Eiche,0.06758082658052444,1.3645398616790771
70,Eiche,0.06486260890960693,1.398728609085083
71,Eiche,0.1219574585556984,1.274895429611206
72,Eiche,0.0765412449836731,1.3757694959640503
73,Eiche,0.05494238808751106,1.389255166053772
74,Eiche,0.0697648674249649,1.427473783493042
75,Eiche,0.09894825518131256,1.3062117099761963
76,Eiche,0.06802757829427719,1.5595725774765015
77,Eiche,0.06113780289888382,1.455125331878662
78,Eiche,0.1024584025144577,1.4389973878860474
79,Eiche,0.1608414351940155,1.7491062879562378
80,Eiche,0.074674591422081,1.749235987663269
81,Eiche,0.08358382433652878,1.6320894956588745
82,Eiche,0.08796577155590057,1.7380787134170532
83,Eiche,0.09371395409107208,1.8040592670440674
84,Eiche,0.06341483443975449,1.8373007774353027
85,Eiche,0.07376261800527573,1.6291500329971313
86,Eiche,0.1006474494934082,1.779665470123291
87,Eiche,0.0883970856666565,1.7475372552871704
88,Eiche,0.06732991337776184,1.657476544380188
89,Eiche,0.07365228980779648,1.7709238529205322
90,Eiche,0.05809101462364197,1.8580979108810425
91,Eiche,0.060485098510980606,1.8329888582229614
92,Eiche,0.06517642736434937,1.7987476587295532
93,Eiche,0.05006416514515877,1.685921549797058
94,Eiche,0.0647205263376236,1.7022777795791626
95,Eiche,0.056673672050237656,1.860939621925354
96,Eiche,0.07405281811952591,1.618315577507019
97,Eiche,0.06816157698631287,1.6054900884628296
98,Eiche,0.05495121702551842,1.5336699485778809
99,Eiche,0.0800725594162941,1.7011653184890747
100,Eiche,0.07179883122444153,1.718888759613037
101,Eiche,0.07110325247049332,1.6935023069381714
102,Eiche,0.07047908008098602,1.7521662712097168
103,Eiche,0.05894805118441582,1.7911847829818726
104,Laerche,0.042190827429294586,1.9374096393585205
105,Laerche,0.049215689301490784,1.941677451133728
106,Laerche,0.041302379220724106,1.9363892078399658
107,Laerche,0.04539518803358078,1.9529300928115845
108,Laerche,0.04482398182153702,1.9365475177764893
109,Laerche,0.04786290228366852,1.9456034898757935
110,Laerche,0.04290096461772919,1.9384791851043701
111,Laerche,0.0484098419547081,1.9206604957580566
112,Laerche,0.039334580302238464,1.9363328218460083
113,Laerche,0.04305648431181908,1.9419751167297363
114,Laerche,0.040468454360961914,1.928301215171814
115,Laerche,0.04014115780591965,1.9501978158950806
116,Laerche,0.04368513077497482,1.9355566501617432
117,Laerche,0.04440535604953766,1.9407323598861694
118,Laerche,0.04839682951569557,1.9580832719802856
119,Laerche,0.04517966881394386,1.9555672407150269
120,Laerche,0.044565681368112564,2.033127546310425
121,Laerche,0.04804111272096634,1.9306904077529907
122,Laerche,0.057057347148656845,1.6767139434814453
123,Laerche,0.04899134114384651,1.8352675437927246
124,Laerche,0.05193527415394783,1.8222699165344238
125,Laerche,0.05082150921225548,1.9068052768707275
126,Laerche,0.051556192338466644,2.045842170715332
127,Laerche,0.049032654613256454,2.0378267765045166
128,Laerche,0.048759251832962036,2.049180507659912
129,Laerche,0.0688314214348793,2.0447235107421875
130,Laerche,0.05303199216723442,1.7762187719345093
131,Laerche,0.05828259885311127,1.8129922151565552
132,Laerche,0.050140075385570526,1.8062281608581543
133,Laerche,0.055779363960027695,1.8071751594543457
134,Laerche,0.05288522690534592,1.8031344413757324
135,Laerche,0.04787915199995041,2.048077344894409
136,Laerche,0.06186157092452049,2.0368990898132324
137,Laerche,0.045025426894426346,2.028442859649658
138,Laerche,0.05666666477918625,1.687401533126831
139,Laerche,0.05249868705868721,1.9285573959350586
140,Laerche,0.05412505194544792,2.0481109619140625
141,Laerche,0.06018048897385597,2.0397205352783203
142,Laerche,0.04935520887374878,1.7823299169540405
143,Laerche,0.04952174052596092,1.8167665004730225
144,Laerche,0.056637734174728394,1.7275582551956177
145,Laerche,0.048501718789339066,2.049760580062866
146,Laerche,0.05036779120564461,2.0491912364959717
147,Laerche,0.06008614972233772,2.056110143661499
148,Laerche,0.051209982484579086,2.0310635566711426
149,Laerche,0.04866349697113037,2.0123820304870605
150,Laerche,0.04908297210931778,2.0167620182037354
151,Laerche,0.05058557540178299,2.0325422286987305
152,Laerche,0.049539726227521896,2.0274453163146973
153,Laerche,0.048283882439136505,2.038879156112671
154,Laerche,0.05977969244122505,2.0263912677764893
155,Laerche,0.04721357673406601,2.037665367126465
156,Laerche,0.06843384355306625,1.6904683113098145
157,Laerche,0.060514628887176514,1.664684772491455
158,Laerche,0.04677962139248848,1.9283206462860107
159,Laerche,0.05586215853691101,1.6503210067749023
